Subject,Beihang University (former BUAA),Northwestern Polytechnical University,Nanjing University of Aeronautics and Astronautics,Beijing Institute of Technology,Nanjing University of Science and Technology,‎Harbin Engineering University,University of Electronic Science and Technology of China,Xidian University,Beijing University of Posts and Telecommunications,Northeastern University (China),University of Science and Technology Beijing,Beijing Jiaotong University,Xi’an Jiaotong University,Hohai University,Georgia Institute of Technology,University of Waterloo,Technische Universität Dresden,Vienna University of Technology,Politecnico di Milano,Carnegie Mellon University
Archaeology,,,,,,,,,,,,,,,,,,,101-150,
Architecture,,,,,,,,,,,,,,,=19,101-150,151-200,51-100,9,51-100
Art & Design,,,,,,,,,,,,,,,,,,,5,13
Classics & Ancient History,,,,,,,,,,,,,,,,,,,,
English Language & Literature,,,,,,,,,,,,,,,,201-250,,,,101-150
History,,,,,,,,,,,,,,,,,,,,
Linguistics,,,,,,,,,,,,,,,,,,,,101-150
Modern Languages,,,,,,,,,,,,,,,,,,,,
Performing Arts,,,,,,,,,,,,,,,,,,,,51-100
Philosophy,,,,,,,,,,,,,,,,,,,,101-150
"Theology, Divinity & Religious Studies",,,,,,,,,,,,,,,,,,,,
Computer Science & Information Systems,201-250,,,201-250,,,451-500,351-400,301-350,,451-500,351-400,201-250,,21,31,201-250,51-100,44,3
Engineering Chemical ,251-300,,,151-200,201-250,,,,,,251-300,,201-250,,32,51-100,151-200,151-200,51-100,51-100
Engineering CiviI & Structural,,,,,,,,,,,,,151-200,,14,51-100,101-150,101-150,9,51-100
Engineering Electrical & Electronic,251-300,,351-400,101-150,,,201-250,251-300,201-250,,,251-300,101-150,,15,51-100,101-150,101-150,35,18
"Engineering Mechanical, Aeronautical & Manufacturing",101-150,201-250,151-200,101-150,351-400,,,,,,201-250,201-250,101-150,,10,101-150,101-150,151-200,17,51-100
Engineering Mineral & Mining,,,,,,,,,,,46,,,,,,,,,
Agriculture & Forestry,,,,,,,,,,,,,,,,,151-200,,,
Anatomy & Physiology,,,,,,,,,,,,,,,,,,,,
Biological Sciences,,,,,,,,,,,,,351-400,,101-150,301-350,151-200,,,151-200
Dentistry,,,,,,,,,,,,,,,,,,,,
Medicine,,,,,,,,,,,,,401-450,,,,151-200,,,
Nursing,,,,,,,,,,,,,,,,,,,,
Pharmacy & Pharmacology,,,,,,,,,,,,,251-300,,,,,,,
Psychology,,,,,,,,,,,,,,,151-200,101-150,251-300,,,=47
Veterinary Science,,,,,,,,,,,,,,,,,,,,
Chemistry,251-300,,,151-200,,,,,,,251-300,,201-250,,30,151-200,101-150,201-250,,51-100
Earth & Marine Sciences,,,,,,,,,,,,,,,51-100,101-150,,,,
Environmental Sciences,,,,251-300,,,,,,,,,,,=40,51-100,,,51-100,101-150
Geography,,,,,,,,,,,,,,,,51-100,,,,
Materials Science,101-150,251-300,,51-100,,,,,,,101-150,,101-150,,=13,51-100,51-100,151-200,51-100,=31
Mathematics,251-300,,,251-300,,,351-400,,,,201-250,251-300,201-250,,23,39,151-200,151-200,51-100,16
Physics & Astronomy,201-250,,,251-300,,,401-450,,,,351-400,451-500,251-300,,51-100,101-150,101-150,151-200,101-150,=45
Accounting & Finance,,,,,,,,,,,,,,,51-100,101-150,,,,51-100
Anthropology,,,,,,,,,,,,,,,,,,,,
Business & Management Studies,,,,,,,,,,,,,251-300,,51-100,201-250,,,51-100,51-100
Communication & Media Studies,,,,,,,,,,,,,,,151-200,,,,,101-150
Development Studies,,,,,,,,,,,,,,,,,,,,
Economics & Econometrics,,,,,,,,,,,,,301-350,,151-200,301-350,251-300,,,51-100
Education & Training,,,,,,,,,,,,,,,,,,,201-250,
Hospitality & Leisure Management,,,,,,,,,,,,,,,,19,,,,
Law,,,,,,,,,,,,,,,251-300,,,,,
Library & Information Management,,,,,,,,,,,,,,,,,,,,
Politics & International Studies,,,,,,,,,,,,,,,,151-200,,,151-200,
Social Policy & Administration,,,,,,,,,,,,,,,,,,,,51-100
Sociology,,,,,,,,,,,,,,,,251-300,,,,
Sports-related Subjects,,,,,,,,,,,,,,,,51-100,,,,
Statistics & Operational Research,151-200,,,,,,,,,,,151-200,151-200,,7,51-100,,151-200,,=8
