Subject,Archaeology,Architecture,Art & Design,Classics & Ancient History,English Language & Literature,History,Linguistics,Modern Languages,Performing Arts,Philosophy,"Theology, Divinity & Religious Studies",Computer Science & Information Systems,Engineering Chemical ,Engineering CiviI & Structural,Engineering Electrical & Electronic,"Engineering Mechanical, Aeronautical & Manufacturing",Engineering Mineral & Mining,Agriculture & Forestry,Anatomy & Physiology,Biological Sciences,Dentistry,Medicine,Nursing,Pharmacy & Pharmacology,Psychology,Veterinary Science,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Materials Science,Mathematics,Physics & Astronomy,Accounting & Finance,Anthropology,Business & Management Studies,Communication & Media Studies,Development Studies,Economics & Econometrics,Education & Training,Hospitality & Leisure Management,Law,Library & Information Management,Politics & International Studies,Social Policy & Administration,Sociology,Sports-related Subjects,Statistics & Operational Research
Beihang University (former BUAA),,,,,,,,,,,,201-250,251-300,,251-300,101-150,,,,,,,,,,,251-300,,,,101-150,251-300,201-250,,,,,,,,,,,,,,,151-200
Northwestern Polytechnical University,,,,,,,,,,,,,,,,201-250,,,,,,,,,,,,,,,251-300,,,,,,,,,,,,,,,,,
Nanjing University of Aeronautics and Astronautics,,,,,,,,,,,,,,,351-400,151-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing Institute of Technology,,,,,,,,,,,,201-250,151-200,,101-150,101-150,,,,,,,,,,,151-200,,251-300,,51-100,251-300,251-300,,,,,,,,,,,,,,,
Nanjing University of Science and Technology,,,,,,,,,,,,,201-250,,,351-400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‎Harbin Engineering University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Electronic Science and Technology of China,,,,,,,,,,,,451-500,,,201-250,,,,,,,,,,,,,,,,,351-400,401-450,,,,,,,,,,,,,,,
Xidian University,,,,,,,,,,,,351-400,,,251-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing University of Posts and Telecommunications,,,,,,,,,,,,301-350,,,201-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeastern University (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University
of Science and Technology Beijing,,,,,,,,,,,,451-500,251-300,,,201-250,46,,,,,,,,,,251-300,,,,101-150,201-250,351-400,,,,,,,,,,,,,,,
Beijing Jiaotong University,,,,,,,,,,,,351-400,,,251-300,201-250,,,,,,,,,,,,,,,,251-300,451-500,,,,,,,,,,,,,,,151-200
Xi’an Jiaotong University,,,,,,,,,,,,201-250,201-250,151-200,101-150,101-150,,,,351-400,,401-450,,251-300,,,201-250,,,,101-150,201-250,251-300,,,251-300,,,301-350,,,,,,,,,151-200
Hohai University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia Institute of Technology,,=19,,,,,,,,,,21,32,14,15,10,,,,101-150,,,,,151-200,,30,51-100,=40,,=13,23,51-100,51-100,,51-100,151-200,,151-200,,,251-300,,,,,,7
University of Waterloo,,101-150,,,201-250,,,,,,,31,51-100,51-100,51-100,101-150,,,,301-350,,,,,101-150,,151-200,101-150,51-100,51-100,51-100,39,101-150,101-150,,201-250,,,301-350,,19,,,151-200,,251-300,51-100,51-100
Technische Universität Dresden,,151-200,,,,,,,,,,201-250,151-200,101-150,101-150,101-150,,151-200,,151-200,,151-200,,,251-300,,101-150,,,,51-100,151-200,101-150,,,,,,251-300,,,,,,,,,
Vienna University of Technology,,51-100,,,,,,,,,,51-100,151-200,101-150,101-150,151-200,,,,,,,,,,,201-250,,,,151-200,151-200,151-200,,,,,,,,,,,,,,,151-200
Politecnico di Milano,101-150,9,5,,,,,,,,,44,51-100,9,35,17,,,,,,,,,,,,,51-100,,51-100,51-100,101-150,,,51-100,,,,201-250,,,,151-200,,,,
Carnegie Mellon University,,51-100,13,,101-150,,101-150,,51-100,101-150,,3,51-100,51-100,18,51-100,,,,151-200,,,,,=47,,51-100,,101-150,,=31,16,=45,51-100,,51-100,101-150,,51-100,,,,,,51-100,,,=8
