subject,json_url
Archaeology,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379633.txt
Architecture,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379634.txt
Art & Design,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379635.txt
Classics & Ancient History,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379639.txt
English Language & Literature,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379652.txt
History,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379655.txt
Linguistics,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379659.txt
Modern Languages,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379663.txt
Performing Arts,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379665.txt
Philosophy,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379667.txt
"Theology, Divinity & Religious Studies",https://www.topuniversities.com/sites/default/files/qs-rankings-data/379675.txt
Computer Science & Information Systems,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379641.txt
Engineering Chemical ,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379647.txt
Engineering CiviI & Structural,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379648.txt
Engineering Electrical & Electronic,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379649.txt
"Engineering Mechanical, Aeronautical & Manufacturing",https://www.topuniversities.com/sites/default/files/qs-rankings-data/379650.txt
Engineering Mineral & Mining,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379651.txt
Agriculture & Forestry,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379630.txt
Anatomy & Physiology,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379631.txt
Biological Sciences,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379636.txt
Dentistry,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379642.txt
Medicine,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379661.txt
Nursing,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379664.txt
Pharmacy & Pharmacology,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379666.txt
Psychology,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379670.txt
Veterinary Science,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379676.txt
Chemistry,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379638.txt
Earth & Marine Sciences,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379644.txt
Environmental Sciences,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379653.txt
Geography,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379654.txt
Materials Science,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379662.txt
Mathematics,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379660.txt
Physics & Astronomy,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379668.txt
Accounting & Finance,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379629.txt
Anthropology,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379632.txt
Business & Management Studies,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379637.txt
Communication & Media Studies,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379640.txt
Development Studies,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379643.txt
Economics & Econometrics,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379645.txt
Education & Training,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379646.txt
Hospitality & Leisure Management,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379656.txt
Law,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379657.txt
Library & Information Management,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379658.txt
Politics & International Studies,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379669.txt
Social Policy & Administration,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379671.txt
Sociology,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379672.txt
Sports-related Subjects,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379673.txt
Statistics & Operational Research,https://www.topuniversities.com/sites/default/files/qs-rankings-data/379674.txt
